PRICE_NG_SPEC,PRICE_eMET_SPEC,PRICE_H2_SPEC,PRICE_NH3_SPEC,CC_VRE_VRE1,CC_VRE_VRE3,CC_ES_ES1,cluster,Fitness
64.0,136.0,20.0,130.0,115000.0,203100.0,10010.0,1,8630431.641778648
73.0,182.0,20.0,130.0,142500.0,355100.0,21710.0,0,9393107.414747996
50.0,227.0,20.0,78.0,203000.0,203100.0,10010.0,0,11271622.90157888
50.0,182.0,20.0,26.0,142500.0,355100.0,10010.0,0,10272757.93108761
64.0,318.0,20.0,78.0,115000.0,355100.0,10010.0,0,10555644.103316564
50.0,227.0,20.0,130.0,115000.0,507000.0,10010.0,0,10153553.76085173
50.0,227.0,20.0,78.0,203000.0,355100.0,21710.0,0,10597893.997372871
64.0,227.0,20.0,130.0,142500.0,203100.0,21710.0,0,10684500.595303746
64.0,182.0,20.0,78.0,115000.0,355100.0,10010.0,0,10206550.915368602
73.0,318.0,95.0,130.0,142500.0,203100.0,42380.0,2,11573077.402038502
64.0,136.0,20.0,130.0,115000.0,203100.0,10010.0,1,8800370.811595438
50.0,136.0,20.0,78.0,115000.0,507000.0,10010.0,4,9455284.030344632
64.0,273.0,170.0,26.0,115000.0,355100.0,21710.0,4,11985121.188158665
73.0,318.0,20.0,26.0,115000.0,203100.0,21710.0,2,9740838.635611933
73.0,182.0,95.0,130.0,115000.0,203100.0,21710.0,2,10381333.974059718
64.0,182.0,95.0,26.0,142500.0,203100.0,10010.0,2,10511896.654834548
64.0,227.0,20.0,78.0,115000.0,507000.0,10010.0,0,9298731.709359264
73.0,182.0,132.0,130.0,142500.0,203100.0,10010.0,3,11849931.748840977
73.0,227.0,95.0,78.0,115000.0,203100.0,21710.0,1,10715164.523757832
64.0,136.0,20.0,78.0,142500.0,355100.0,10010.0,3,9170878.176507177
64.0,227.0,20.0,78.0,115000.0,203100.0,10010.0,2,9475474.58196409
73.0,318.0,20.0,130.0,203000.0,203100.0,10010.0,1,9505874.4167005
64.0,136.0,20.0,130.0,115000.0,507000.0,10010.0,1,10870772.33838278
64.0,182.0,20.0,26.0,142500.0,203100.0,10010.0,1,9532765.648941783
73.0,318.0,20.0,130.0,142500.0,355100.0,21710.0,1,10679883.592687229
50.0,227.0,20.0,78.0,115000.0,203100.0,10010.0,4,9447842.177875346
50.0,273.0,20.0,130.0,142500.0,355100.0,42380.0,0,11274289.227389352
73.0,182.0,20.0,130.0,115000.0,507000.0,10010.0,0,10118194.32122966
50.0,136.0,20.0,78.0,115000.0,355100.0,10010.0,3,7956461.504181868
50.0,318.0,20.0,78.0,115000.0,203100.0,10010.0,2,9218194.595707305
73.0,136.0,20.0,130.0,115000.0,507000.0,21710.0,3,8620007.318396807
64.0,227.0,20.0,78.0,115000.0,203100.0,10010.0,0,9200335.209842568
64.0,273.0,20.0,130.0,142500.0,203100.0,10010.0,1,9439419.66642011
50.0,136.0,20.0,78.0,115000.0,355100.0,21710.0,3,10625989.589256028
73.0,136.0,57.0,78.0,203000.0,203100.0,10010.0,4,10075370.71831757
64.0,227.0,20.0,78.0,115000.0,507000.0,21710.0,0,9335287.194360262
73.0,182.0,20.0,26.0,115000.0,203100.0,10010.0,0,9096391.020178895
64.0,182.0,20.0,78.0,115000.0,355100.0,10010.0,0,9511717.633649038
64.0,273.0,20.0,130.0,142500.0,203100.0,10010.0,1,9439419.66642011
73.0,182.0,20.0,26.0,142500.0,355100.0,10010.0,0,10201969.494841805
50.0,182.0,20.0,130.0,115000.0,355100.0,42380.0,0,10467353.038614064
64.0,318.0,20.0,130.0,203000.0,355100.0,21710.0,2,11007352.30431446
64.0,227.0,170.0,26.0,115000.0,507000.0,10010.0,0,11792973.830500856
50.0,227.0,57.0,26.0,115000.0,507000.0,10010.0,0,10197611.689421391
